onset	duration	image	emotion	generic
0.3488	3	fixation	NA	1
3.3488	3	fixation	NA	1
6.3488	3	fixation	NA	1
9.3488	3	fixation	NA	1
12.3517	3	fixation	NA	1
15.3583	3	fixation	NA	1
18.4081	3	face	happy	1
21.4045	3	face	happy	1
24.4078	3	face	happy	1
27.4116	3	face	happy	1
30.4057	3	face	happy	1
33.4058	3	face	happy	1
36.4728	3	object	NA	1
39.4135	3	object	NA	1
42.4106	3	object	NA	1
45.4132	3	object	NA	1
48.405	3	object	NA	1
51.4055	3	object	NA	1
54.4112	3	face	neutral	1
57.4125	3	face	neutral	1
60.4151	3	face	neutral	1
63.4391	3	face	neutral	1
66.4253	3	face	neutral	1
69.421	3	face	neutral	1
72.4513	3	face	fearful	1
75.4384	3	face	fearful	1
78.4039	3	face	fearful	1
81.434	3	face	fearful	1
84.4355	3	face	fearful	1
87.4201	3	face	fearful	1
90.496	3	object	NA	1
93.4333	3	object	NA	1
96.4363	3	object	NA	1
99.4195	3	object	NA	1
102.4192	3	object	NA	1
105.4267	3	object	NA	1
108.419	3	fixation	NA	1
111.4355	3	fixation	NA	1
114.4391	3	fixation	NA	1
117.4619	3	fixation	NA	1
120.4619	3	fixation	NA	1
123.4702	3	fixation	NA	1
126.5246	3	face	fearful	1
129.5182	3	face	fearful	1
132.5197	3	face	fearful	1
135.5042	3	face	fearful	1
138.5206	3	face	fearful	1
141.5204	3	face	fearful	1
144.5245	3	face	happy	1
147.5078	3	face	happy	1
150.5243	3	face	happy	1
153.5231	3	face	happy	1
156.5137	3	face	happy	1
159.5238	3	face	happy	1
162.5059	3	face	neutral	1
165.517	3	face	neutral	1
168.5155	3	face	neutral	1
171.5184	3	face	neutral	1
174.5089	3	face	neutral	1
177.505	3	face	neutral	1
180.5061	3	fixation	NA	1
183.5059	3	fixation	NA	1
186.5169	3	fixation	NA	1
189.5309	3	fixation	NA	1
198.595	3	face	happy	1
201.5831	3	face	happy	1
204.5718	3	face	happy	1
207.5883	3	face	happy	1
210.5735	3	face	happy	1
213.588	3	face	happy	1
216.5795	3	face	neutral	1
219.5868	3	face	neutral	1
222.5728	3	face	neutral	1
225.5726	3	face	neutral	1
228.5931	3	face	neutral	1
231.586	3	face	neutral	1
234.6536	3	object	NA	1
237.5784	3	object	NA	1
240.5866	3	object	NA	1
243.578	3	object	NA	1
246.5714	3	object	NA	1
249.5751	3	object	NA	1
252.5945	3	face	fearful	1
255.5876	3	face	fearful	1
258.5842	3	face	fearful	1
261.584	3	face	fearful	1
264.5704	3	face	fearful	1
267.5852	3	face	fearful	1
